velocidad_bala,distancia,bala_y,h1,h2,h3,h4,h5,h6,h7,h8,accion
0.0,2160.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,1008.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,991.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,974.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,957.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,940.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,923.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,906.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,889.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,872.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,855.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,838.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,821.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,804.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,787.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,770.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,753.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,736.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,719.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,702.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,685.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,668.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,651.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,634.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,617.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,600.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,583.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,566.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,549.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,532.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,515.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,498.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,481.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,464.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,447.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,430.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,413.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-17.0,396.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-17.0,379.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-17.0,362.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-17.0,345.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-17.0,328.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,311.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,294.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,277.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,260.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-17.0,243.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-17.0,226.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-17.0,209.0,583.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-17.0,192.0,583.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-17.0,175.0,583.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-17.0,158.0,583.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-17.0,141.0,583.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-17.0,124.0,583.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-17.0,107.0,583.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-17.0,90.0,583.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-17.0,73.0,583.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,56.0,583.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,39.0,583.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,22.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,5.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,-12.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,-29.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,-46.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-17.0,-63.0,583.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
0.0,2160.0,610.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,999.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,973.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,947.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,921.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-26.0,895.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-26.0,869.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-26.0,843.0,645.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-26.0,817.0,645.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-26.0,791.0,645.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-26.0,765.0,645.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0
-26.0,739.0,645.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-26.0,713.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-26.0,687.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-26.0,661.0,645.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-26.0,635.0,645.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-26.0,609.0,645.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,583.0,645.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-26.0,557.0,645.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-26.0,531.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-26.0,505.0,645.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-26.0,479.0,645.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0
-26.0,453.0,645.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0
-26.0,427.0,645.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2
-26.0,401.0,645.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2
-26.0,375.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-26.0,349.0,645.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-26.0,323.0,645.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
-26.0,297.0,645.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,271.0,645.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2
-26.0,245.0,645.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
-26.0,219.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0
-26.0,193.0,645.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0
-26.0,167.0,645.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0
-26.0,141.0,645.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2
-26.0,115.0,645.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2
-26.0,89.0,645.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2
-26.0,63.0,645.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2
-26.0,37.0,645.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2
